15,"PM Modi gifts Trump their framed photograph from 'Howdy, Modi' event","PM Narendra Modi on Tuesday gifted US President Donald Trump a framed photograph of them both from 'Howdy, Modi' event in Texas' Houston that was attended by over 50,000 people. PMO shared the picture and tweeted, ""Memories from Houston, where history was made!"" The photograph was presented as the two leaders met on the sidelines of UN General Assembly session.",India.com,https://www.india.com/news/india/pm-modi-presents-framed-photo-from-howdy-modi-event-to-us-president-trump-3782705/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
17,"We can't attack India, clearly that's not an option: Pak PM Imran Khan","When asked what options are left for him if the international community doesn't respond over Kashmir, Pakistan PM Imran Khan said, ""What options have we got apart from [talking to...global community]?"" ""We can't attack India, clearly that's not an option,"" he added while speaking during a news briefing at UN. ""Apart from that, we're doing everything possible,"" Khan said.",Hindustan Times,https://www.hindustantimes.com/world-news/imran-khan-disappointed-kashmir-campaign-not-working/story-7RvuqauxzTSxsQYIujyeGO.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
18,US Speaker announces impeachment inquiry against President Trump,"US House of Representatives Speaker Nancy Pelosi launched an impeachment inquiry against President Donald Trump, accusing him of violating the Constitution. This comes after reports that Trump called Ukraine President Volodymyr Zelenskyy and sought his help to investigate Democrat Joe Biden. Pelosi said such actions would mark ""betrayal of his oath of office"", adding, ""No one is above the law.""",Hindustan Times,https://www.hindustantimes.com/world-news/nancy-pelosi-set-to-announce-formal-donald-trump-impeachment-investigation/story-JgPUcNuij6h4ALxOfoQmWJ.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
19,Bill Barney resigns as CEO from Anil Ambani's RCom; to continue at GCX,"Bill Barney on Tuesday stepped down as CEO of Reliance Communications (RCom) to focus full time at the helm of Global Cloud Xchange (GCX) during its corporate restructuring process. Reliance Communications' subsidiary GCX, which makes undersea cable systems, had filed for bankruptcy in the US last week.",The Financial Express,https://www.financialexpress.com/industry/bill-barney-resigns-as-rcom-ceo-to-continue-at-gcx/1716391/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
20,Uncontainable excitement: Shweta on dad's Dadasaheb Phalke Award,"After Amitabh Bachchan was selected for the Dadasaheb Phalke Award, his daughter, Shweta Bachchan posted a picture of the actor on Instagram and congratulated him. ""Whose your Dada (Saheb Phalke)? Uncontainable excitement, pride, tears, and general hysteria,"" she wrote. Director Karan Johar also congratulated Bachchan and wrote, ""I'm honoured and proud to be in the Era of AMITABH BACHCHAN!""",Times Now,https://www.timesnownews.com/entertainment/news/people/article/shweta-bachchan-has-the-nicest-congratulatory-message-for-dad-amitabh-bachchan-whose-your-dada-saheb-phalke/494565?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
21,Govt to make certification model for streaming sites: Report,"The Information and Broadcasting Ministry has reportedly decided to set up a model for the certification of online video-streaming content after Diwali. Earlier this year, nine video streaming sites in India, including Netflix and Hotstar, had adopted a self-regulatory Code of Best Practices for content.",Inc42,https://inc42.com/buzz/ib-ministry-to-set-up-certification-model-for-video-streaming-platforms/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
22,Deepika Padukone attends Dior's show at Paris Fashion Week,"Actress Deepika Padukone on Tuesday attended luxury brand Dior's fashion show at the Paris Fashion Week. Deepika opted for a floral printed strapless gown with a brown headband of the same print and mesh patterned long boots at Dior's Spring/Summer show. She accessorised her look with a Dior handbag, golden jewellery and pulled her hair up into a bun.",Times Now,https://www.timesnownews.com/entertainment/fashion/article/pics-deepika-padukone-looks-nothing-less-than-a-showstopper-at-diors-fashion-show-in-paris/494444?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
23,Tom Hanks to receive Cecil B DeMille Award at 2020 Golden Globes,"Hollywood actor Tom Hanks will be honoured with Cecil B DeMille Award at the Golden Globe Awards on January 5, 2020, the Hollywood Foreign Press Association announced on Tuesday. The award recognises an individual who has made a lasting impact on the film industry. Oprah Winfrey, Morgan Freeman and Meryl Streep have been some of the recipients of the award.",Hindustan Times,https://www.hindustantimes.com/hollywood/tom-hanks-to-be-honoured-with-prestigious-cecil-b-demille-award-at-2020-golden-globes/story-duRoks04TkZN5IylrbRG2J.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
25,"I was raped at 15, rapist said I was sold to him by mom for $500: Demi","Hollywood actress Demi Moore has revealed that she was raped at the age of 15 in her home. She added that the man told her that she had been sold to him by her mother for $500. When asked if she believed the man, Demi said, ""I think, in my deep heart no...But she still did give him the access.""",The Guardian,https://www.theguardian.com/film/2019/sep/24/demi-moore-reveals-she-was-raped-aged-15-in-new-memoir?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
26,WeWork Co-founder Neumann to step down as CEO amid investors' pressure,"US-based shared workspaces startup WeWork's Co-founder Adam Neumann is stepping down from the CEO role and will become a non-executive Chairman, a WeWork spokesperson confirmed to CNBC on Tuesday. WeWork Vice-Chairman Sebastian Gunningham and CFO Artie Minson will become co-CEOs, it added. WeWork's largest investor SoftBank's CEO Masayoshi Son led the charge to remove Neumann, CNBC reported.",TechCrunch,https://techcrunch.com/2019/09/24/report-weworks-adam-neumann-to-step-down-as-ceo/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
27,"I was denied entry at 'Howdy, Modi' event due to my comments on PM: Hasan","Indian-American comedian Hasan Minhaj has claimed that he was blacklisted from 'Howdy, Modi' event as the comments he made on PM Narendra Modi in his show ""were not appreciated"". Hasan also pointed out that although he was blacklisted, the event mentioned his name and displayed his photo while honouring prominent Indian Americans.",The Quint,https://www.thequint.com/entertainment/celebrities/honoured-me-while-kicking-me-out-hasan-minhaj-on-being-denied-access-to-howdy-modi-event-in-houston?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
28,Situation very bad in Valley: Ghulam Nabi Azad on reaching Jammu,"Senior Congress leader Ghulam Nabi Azad on Tuesday reached Jammu on the second-leg of his six-day tour of Jammu and Kashmir and said the situation in the Valley was ""very bad"". ""I was not even allowed by the administration to visit 10% of the places where I had planned to go in the Valley during my stay there,"" said Azad.",The Quint,https://www.thequint.com/news/india/situation-very-bad-in-kashmir-ghulam-nabi-azad-jammu?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
29,"Dhoni has done so much, discussion around his future is unfair: Yuvraj","Ex-India all-rounder Yuvraj Singh has said the discussion around ex-India captain MS Dhoni's future is ""unfair"". ""Dhoni has done so much for Indian cricket. He has been the most successful Indian captain, so you got to give him time,"" he added. ""He needs to decide when he wants to go out. He needs to take that call,"" Yuvraj further said.",Cricket Country,https://www.cricketcountry.com/news/ms-dhoni-has-done-so-much-for-indian-cricket-discussion-around-his-future-is-unfair-yuvraj-singh-895159?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
30,BCCI elections to take place on Oct 23 instead of Oct 22: CoA chief,"The BCCI's elections have been rescheduled by a day to October 23 in the wake of assembly elections in Haryana and Maharashtra, Chairman of the Committee of Administrators (CoA) Vinod Rai said. Both the states will be voting on October 21 in a single-phase elections. CoA has also extended the deadline for BCCI state units elections to October 4.",The Quint,https://www.thequint.com/sports/cricket/bcci-elections-2019-date-change-rescheduled?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
31,Dhoni was not made in a day: Yuvraj on Rishabh Pant's criticism,"Stressing that 21-year-old wicketkeeper-batsman Rishabh Pant should be given an extended run in international cricket, ex-India all-rounder Yuvraj Singh said, ""MS Dhoni was not made in a day. It took a few years so it will take a few years for a replacement also."" ""If you're going to suppress [Pant], you won't get the best out of him,"" Yuvraj added.",Hindustan Times,https://www.hindustantimes.com/cricket/yuvraj-singh-has-his-say-on-ms-dhoni-s-retirement-rumours/story-LdlMdLtqleMzRTRFEueW1N.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
32,"Bangladesh, Afghanistan share trophy as rain washes out tri-series final",Bangladesh and Afghanistan shared the trophy after the tri-nation T20I series final was washed out without a ball being bowled at the Sher-e-Bangla National Stadium in Dhaka on Tuesday. Afghanistan’s Rahmanullah Gurbaz was named player of the tournament for making 133 runs in four innings. The tri-series also involved Zimbabwe.,Cricket Country,https://www.cricketcountry.com/news/bangladesh-afghanistan-share-the-trophy-as-rain-washes-out-final-895290?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
